Fecha;Defunciones
1980M01;4999
1980M02;3944
1980M03;4251
1980M04;3651
1980M05;3711
1980M06;3450
1980M07;3560
1980M08;3663
1980M09;3370
1980M10;3667
1980M11;3995
1980M12;5214
1981M01;6120
1981M02;4398
1981M03;4303
1981M04;3708
1981M05;3782
1981M06;4196
1981M07;3700
1981M08;3460
1981M09;3328
1981M10;3819
1981M11;3912
1981M12;4274
1982M01;4342
1982M02;3965
1982M03;4069
1982M04;3687
1982M05;3733
1982M06;3471
1982M07;3934
1982M08;3399
1982M09;3012
1982M10;3662
1982M11;3906
1982M12;4958
1983M01;5941
1983M02;5296
1983M03;4335
1983M04;3889
1983M05;3842
1983M06;3501
1983M07;3670
1983M08;3241
1983M09;3092
1983M10;3260
1983M11;3738
1983M12;4526
1984M01;4728
1984M02;4342
1984M03;4952
1984M04;4039
1984M05;3740
1984M06;3782
1984M07;3735
1984M08;3319
1984M09;3107
1984M10;3768
1984M11;3789
1984M12;4398
1985M01;5890
1985M02;4084
1985M03;4393
1985M04;3859
1985M05;3865
1985M06;3406
1985M07;3643
1985M08;3304
1985M09;3098
1985M10;3370
1985M11;4094
1985M12;4678
1986M01;5200
1986M02;4661
1986M03;4156
1986M04;4011
1986M05;3666
1986M06;3188
1986M07;3433
1986M08;3249
1986M09;3094
1986M10;3263
1986M11;3727
1986M12;4152
1987M01;4849
1987M02;3783
1987M03;3959
1987M04;3623
1987M05;3361
1987M06;3229
1987M07;3386
1987M08;3477
1987M09;3097
1987M10;3610
1987M11;3725
1987M12;4363
1988M01;4287
1988M02;3931
1988M03;4514
1988M04;3686
1988M05;3293
1988M06;3180
1988M07;3564
1988M08;3516
1988M09;3098
1988M10;3313
1988M11;3667
1988M12;4606
1989M01;4773
1989M02;3950
1989M03;3808
1989M04;3684
1989M05;3504
1989M06;3380
1989M07;3826
1989M08;3370
1989M09;2951
1989M10;3323
1989M11;3465
1989M12;3842
1990M01;4636
1990M02;3848
1990M03;3753
1990M04;3458
1990M05;3387
1990M06;3065
1990M07;3727
1990M08;3213
1990M09;2835
1990M10;3378
1990M11;3431
1990M12;4496
1991M01;4345
1991M02;4244
1991M03;4206
1991M04;3551
1991M05;3667
1991M06;3230
1991M07;3609
1991M08;3369
1991M09;2872
1991M10;3454
1991M11;3545
1991M12;3909
1992M01;4660
1992M02;4012
1992M03;3800
1992M04;3443
1992M05;3274
1992M06;2942
1992M07;3423
1992M08;3312
1992M09;2723
1992M10;3420
1992M11;3268
1992M12;3750
1993M01;4340
1993M02;3595
1993M03;4178
1993M04;3447
1993M05;3201
1993M06;3087
1993M07;3094
1993M08;3191
1993M09;2857
1993M10;3377
1993M11;3443
1993M12;4032
1994M01;4463
1994M02;3741
1994M03;3553
1994M04;3372
1994M05;3295
1994M06;2979
1994M07;3624
1994M08;3107
