fecha;serie
2000-01;10972126
2000-02;11696547
2000-03;14476184
2000-04;16402196
2000-05;21220226
2000-06;25150625
2000-07;31872983
2000-08;32417522
2000-09;26230553
2000-10;21180509
2000-11;11847961
2000-12;10429127
2001-01;10954744
2001-02;12149677
2001-03;14316136
2001-04;15933282
2001-05;21271264
2001-06;24699207
2001-07;32221032
2001-08;32242090
2001-09;26266294
2001-10;20217685
2001-11;11510293
2001-12;10088542
2002-01;10743807
2002-02;11633233
2002-03;14395180
2002-04;14238196
2002-05;19982821
2002-06;23083257
2002-07;30588790
2002-08;32251070
2002-09;24472593
2002-10;19465560
2002-11;10856596
2002-12;9848555
2003-01;10704460
2003-02;10949289
2003-03;13760862
2003-04;14871449
2003-05;19691427
2003-06;23422144
2003-07;29951415
2003-08;32412265
2003-09;23672671
2003-10;18894488
2003-11;10612104
2003-12;9813703
2004-01;10588700
2004-02;11315269
2004-03;13280951
2004-04;13938324
2004-05;18485259
2004-06;21475566
2004-07;28028282
2004-08;30610368
2004-09;23470218
2004-10;18572217
2004-11;10545297
2004-12;9620957
2005-01;10767893
2005-02;10908266
2005-03;12766814
2005-04;12589310
2005-05;18402967
2005-06;21491063
2005-07;28805670
2005-08;30802155
2005-09;24090974
2005-10;19358157
2005-11;11016911
2005-12;9598924
2006-01;10776449
2006-02;11117550
2006-03;13578222
2006-04;15273548
2006-05;19945475
2006-06;24206525
2006-07;30937534
2006-08;31800305
2006-09;25151407
2006-10;19500908
2006-11;11582367
2006-12;10496722
2007-01;11524545
2007-02;11658669
2007-03;14286187
2007-04;15285772
2007-05;19620697
2007-06;23950565
2007-07;30747357
2007-08;31704583
2007-09;25055943
2007-10;19649460
2007-11;11805456
2007-12;10844599
2008-01;11561657
2008-02;12369022
2008-03;14500638
2008-04;14753255
2008-05;20457978
2008-06;23317215
2008-07;31377012
2008-08;31695531
2008-09;24198033
2008-10;18721302
2008-11;10943881
2008-12;9877053
2009-01;10225831
2009-02;10309197
2009-03;12229773
2009-04;13829026
2009-05;17871077
2009-06;21046108
2009-07;27933211
2009-08;28553552
2009-09;21786062
2009-10;17094775
2009-11;10214885
2009-12;9468603
2010-01;9859859
2010-02;10559279
2010-03;12772394
2010-04;13589748
2010-05;18927505
2010-06;22147074
2010-07;30399181
2010-08;32075781
2010-09;24418971
2010-10;18995469
2010-11;11206871
2010-12;9747349
2011-01;10838208
2011-02;11671516
2011-03;14496384
2011-04;16731497
2011-05;20497056
2011-06;25720042
2011-07;33559623
2011-08;35001838
2011-09;27270108
2011-10;20947760
2011-11;12090883
2011-12;10564124
2012-01;11434356
2012-02;11893912
2012-03;13966252
2012-04;15646701
2012-05;21007766
2012-06;26256706
2012-07;34809639
2012-08;35892710
2012-09;28525913
2012-10;21075841
2012-11;12099526
2012-12;10779681
2013-01;11284338
2013-02;11663806
2013-03;14752305
2013-04;15670937
2013-05;23175030
2013-06;27539194
2013-07;35328769
2013-08;36901963
2013-09;29222284
2013-10;22413906
2013-11;12767139
2013-12;11728095
2014-01;12433234
2014-02;12455695
2014-03;15579948
2014-04;17499290
2014-05;23198597
2014-06;27950879
2014-07;34572704
2014-08;37975135
2014-09;30119643
2014-10;23326426
2014-11;12890741
2014-12;11768266
2015-01;12389380
2015-02;12716749
2015-03;15250246
2015-04;17924827
2015-05;24281997
2015-06;27855239
2015-07;36464075
2015-08;39185336
2015-09;31102714
2015-10;25225724
2015-11;14111663
2015-12;12687295
2016-01;13338923
2016-02;14340779
2016-03;17503262
2016-04;19811269
2016-05;27358084
2016-06;31243977
2016-07;39384478
2016-08;41620009
2016-09;33747373
2016-10;27520384
2016-11;15018684
2016-12;13669208
2017-01;14482911
2017-02;14690784
2017-03;17476424
2017-04;22245789
2017-05;28743894
2017-06;33655447
2017-07;40814539
2017-08;42192307
2017-09;34766597
2017-10;28140226
2017-11;15248817
2017-12;13418499
2018-01;14420408
2018-02;14764556
2018-03;17898354
2018-04;20905931
2018-05;29007198
2018-06;32700496
2018-07;39358389
2018-08;40704595
2018-09;33990246
2018-10;28144590
2018-11;15333407
2018-12;13794462
2019-01;14309281
2019-02;14470122
2019-03;17825853
2019-04;21616305
2019-05;27967063
2019-06;32951795
2019-07;38855835
2019-08;40609737
2019-09;33675812
2019-10;27512907
2019-11;15242729
2019-12;14054692
2020-01;14573360
2020-02;15012779
2020-03;7313414
2020-04;1
2020-05;172710
2020-06;598116
2020-07;6604128
2020-08;7523055
2020-09;2875178
2020-10;2233934
2020-11;1867579
2020-12;2123749
2021-01;1579215
2021-02;1332750
2021-03;1726350
2021-04;2046961
2021-05;3703463
2021-06;7074987
2021-07;15942863
2021-08;21064398
2021-09;18454349
2021-10;18964123
2021-11;12336635
2021-12;10119039
2022-01;9379822
2022-02;11227083
2022-03;14596049
2022-04;19584786
2022-05;25458937
2022-06;29642070
2022-07;36914518
2022-08;39152886
2022-09;31205075
2022-10;26080829
2022-11;14703802
2022-12;13495049
2023-01;14091000
2023-02;14655043
2023-03;17182049
2023-04;22717329
2023-05;29001369
2023-06;31034022
2023-07;38075572
2023-08;40386486
2023-09;33920963
2023-10;29323308
2023-11;16569296
2023-12;14970765
